FirmID,output
6318381,108.133332
7525727,410.711681
4970852,123.724251
4634617,352.860826
4333162,83.788443
6318381,105.469178
7525727,412.225628
4970852,128.428615
4634617,353.415153
4333162,92.301203
6318381,102.689048
7525727,409.967514
4970852,122.391980
4634617,362.310831
4333162,98.639968
6318381,102.121151
7525727,420.113947
4970852,128.638712
4634617,372.000016
4333162,105.950133
6318381,105.731227
7525727,424.531274
4970852,124.648580
4634617,381.974978
4333162,103.667435
6318381,103.081038
7525727,428.466997
4970852,140.286405
4634617,373.822392
4333162,113.470233
6318381,111.187948
7525727,428.891816
4970852,139.375378
4634617,373.271544
4333162,112.257355
6318381,109.588181
7525727,436.317302
4970852,142.934467
4634617,358.018723
4333162,115.639904
6318381,105.430355
7525727,446.282146
4970852,133.415095
4634617,364.007666
4333162,117.102487
6318381,118.451699
7525727,441.857707
4970852,147.563015
4634617,354.834325
4333162,112.202155
6318381,126.947312
7525727,457.774663
4970852,150.460368
4634617,353.697633
4333162,110.760340
6318381,124.704613
7525727,461.266246
4970852,152.654956
4634617,360.394229
4333162,117.927984
6318381,128.068546
7525727,462.556313
4970852,151.835984
4634617,358.773628
4333162,122.873554
6318381,130.395472
7525727,465.967232
4970852,155.043083
4634617,354.345485
4333162,128.475194
6318381,129.786037
7525727,451.887117
4970852,158.152595
4634617,356.733376
4333162,128.319544
6318381,128.605731
7525727,445.365282
4970852,158.804459
4634617,348.135754
4333162,132.178601
6318381,140.242202
7525727,452.609040
4970852,154.792093
4634617,351.000730
4333162,129.278839
6318381,149.818916
7525727,445.315826
4970852,148.140173
4634617,370.728843
4333162,124.848831
6318381,156.997309
7525727,444.403654
4970852,161.223086
4634617,359.359828
4333162,124.848831
6318381,163.036798
7525727,450.732858
4970852,153.200884
4634617,359.363649
4333162,126.409953
6318381,171.230710
7525727,457.664594
4970852,154.572772
4634617,362.210060
4333162,128.813795
6318381,172.087348
7525727,467.027057
4970852,148.992181
4634617,369.346022
4333162,129.189968
6318381,171.911388
7525727,457.822930
4970852,141.148910
4634617,368.066261
4333162,136.939829
6318381,166.862075
7525727,472.289704
4970852,152.744808
4634617,362.147849
4333162,143.190960
6318381,179.224367
7525727,486.229291
4970852,156.808775
4634617,356.976659
4333162,141.683333
6318381,185.000775
7525727,490.060594
4970852,155.652780
4634617,348.905944
4333162,145.765165
6318381,179.729234
7525727,504.854212
4970852,168.862108
4634617,349.088332
